timestamp,x,y,z,phi,theta,psi,u,v,w,p,q,r,tau_X,tau_Y,tau_Z,tau_K,tau_M,tau_N,D_u,D_v,D_w,dist_u,dist_v,pwm_1,thrust_1,pwm_2,thrust_2,pwm_3,thrust_3,pwm_4,thrust_4,pwm_5,thrust_5,pwm_6,thrust_6,pwm_7,thrust_7,pwm_8,thrust_8
1790144879.14623,0.00000,0.00000,0.00000,-0.00273,0.00609,-2.00561,0.00000,0.00000,0.00000,-0.00006,-0.00089,-0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.17932,0.00000,0.00000,0.00000,-0.00273,0.00609,-2.00561,0.00000,0.00000,0.00000,-0.00006,-0.00089,-0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.21121,0.00000,0.00000,0.00000,-0.00273,0.00609,-2.00561,0.00000,0.00000,0.00000,-0.00006,-0.00089,-0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.24452,0.00000,0.00000,0.00000,-0.00272,0.00612,-2.00576,0.00000,0.00000,0.00000,-0.00027,0.00136,-0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.27761,0.00000,0.00000,0.00000,-0.00272,0.00612,-2.00576,0.00000,0.00000,0.00000,-0.00027,0.00136,-0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.31189,0.00000,0.00000,0.00000,-0.00272,0.00612,-2.00576,0.00000,0.00000,0.00000,-0.00027,0.00136,-0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.34367,0.00000,0.00000,0.00000,-0.00270,0.00613,-2.00584,0.00000,0.00000,0.00000,-0.00055,0.00180,-0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.37576,0.00000,0.00000,0.00000,-0.00270,0.00613,-2.00584,0.00000,0.00000,0.00000,-0.00055,0.00180,-0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.40640,0.00000,0.00000,0.00000,-0.00270,0.00613,-2.00584,0.00000,0.00000,0.00000,-0.00055,0.00180,-0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.44119,0.00000,0.00000,0.00000,-0.00269,0.00614,-2.00596,0.00000,0.00000,0.00000,-0.00044,0.00037,-0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.47631,0.00000,0.00000,0.00000,-0.00269,0.00614,-2.00596,0.00000,0.00000,0.00000,-0.00044,0.00037,-0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.50682,0.00000,0.00000,0.00000,-0.00269,0.00614,-2.00596,0.00000,0.00000,0.00000,-0.00044,0.00037,-0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.54753,0.00000,0.00000,0.00000,-0.00270,0.00615,-2.00620,0.00000,0.00000,0.00000,0.00074,-0.00016,-0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.57868,0.00000,0.00000,0.00000,-0.00270,0.00615,-2.00620,0.00000,0.00000,0.00000,0.00074,-0.00016,-0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.60870,0.00000,0.00000,0.00000,-0.00270,0.00615,-2.00620,0.00000,0.00000,0.00000,0.00074,-0.00016,-0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.64451,0.00000,0.00000,0.00000,-0.00266,0.00611,-2.00631,0.00000,0.00000,0.00000,0.00118,-0.00149,-0.00104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.67565,0.00000,0.00000,0.00000,-0.00266,0.00611,-2.00631,0.00000,0.00000,0.00000,0.00118,-0.00149,-0.00104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.70590,0.00000,0.00000,0.00000,-0.00266,0.00611,-2.00631,0.00000,0.00000,0.00000,0.00118,-0.00149,-0.00104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.73887,0.00000,0.00000,0.00000,-0.00267,0.00609,-2.00628,0.00000,0.00000,0.00000,-0.00038,-0.00073,-0.00152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.77090,0.00000,0.00000,0.00000,-0.00267,0.00609,-2.00628,0.00000,0.00000,0.00000,-0.00038,-0.00073,-0.00152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.80331,0.00000,0.00000,0.00000,-0.00267,0.00609,-2.00628,0.00000,0.00000,0.00000,-0.00038,-0.00073,-0.00152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.84174,0.00000,0.00000,0.00000,-0.00264,0.00606,-2.00627,0.00000,0.00000,0.00000,-0.00004,-0.00083,-0.00041,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.87657,0.00000,0.00000,0.00000,-0.00264,0.00606,-2.00627,0.00000,0.00000,0.00000,-0.00004,-0.00083,-0.00041,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.90760,0.00000,0.00000,0.00000,-0.00264,0.00606,-2.00627,0.00000,0.00000,0.00000,-0.00004,-0.00083,-0.00041,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144879.94583,0.00000,0.00000,0.00000,-0.00263,0.00607,-2.00631,0.00000,0.00000,0.00000,-0.00021,0.00056,-0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
